label,k,se,sn,j,subject,operation
1,0.9508053983,0.9421915444,0.9999953266,0.9062240664,anusha,contract
2,0.9822485207,0.97319933,0.9999994921,0.9651162791,anusha,contract
4,0.9756457565,0.9692082111,0.9999987809,0.9524495677,anusha,contract
5,0.9569707401,0.9455782313,0.9999990857,0.9174917492,anusha,contract
6,0.9475609756,0.9395405079,0.9999963427,0.9003476246,anusha,contract
101,0.9620358782,0.9489711934,0.9999970537,0.9268488746,anusha,contract
102,0.9934210526,0.9885433715,0.9999998984,0.9869281046,anusha,contract
104,0.9880597015,0.9807407407,0.9999996952,0.9764011799,anusha,contract
105,0.9736842105,0.9700374532,0.9999993905,0.9487179487,anusha,contract
106,0.9624753127,0.9568062827,0.9999975618,0.9276649746,anusha,contract
1,0.9516887559,0.9603106126,0.9999931931,0.9078303426,anusha,expand
2,0.9825726141,0.9916247906,0.9999983746,0.9657422512,anusha,expand
4,0.9759650401,0.9824046921,0.9999978666,0.9530583215,anusha,expand
5,0.9579831933,0.9693877551,0.9999983746,0.9193548387,anusha,expand
6,0.948441247,0.9564691657,0.9999949204,0.9019384265,anusha,expand
101,0.9630531872,0.9761316872,0.999993701,0.9287392326,anusha,expand
102,0.993485342,0.9983633388,0.9999992889,0.9870550162,anusha,expand
104,0.9882352941,0.9955555556,0.9999986793,0.976744186,anusha,expand
105,0.973880597,0.9775280899,0.9999991873,0.9490909091,anusha,expand
106,0.962914769,0.9685863874,0.9999966475,0.9284818068,anusha,expand
1,0.2407247627,0.2407247627,0.9999105958,0.1368317803,anusha,translate
2,0.1105527638,0.1105527638,0.9999460558,0.0585106383,anusha,translate
4,0.3563049853,0.3563049853,0.9999554017,0.2167707404,anusha,translate
5,0.112244898,0.112244898,0.9999734859,0.05945945946,anusha,translate
6,0.1584038694,0.1584038694,0.9999292918,0.08601444517,anusha,translate
101,0.2666666667,0.2666666667,0.9999094778,0.1538461538,anusha,translate
102,0.1391162029,0.1391162029,0.9999465637,0.07475813544,anusha,translate
104,0.3822222222,0.3822222222,0.9999576367,0.2362637363,anusha,translate
105,0.06367041199,0.06367041199,0.9999746034,0.03288201161,anusha,translate
106,0.1426701571,0.1426701571,0.9999334575,0.07681465821,anusha,translate
1,1,1,1,1,jon,contract
2,1,1,1,1,jon,contract
4,1,1,1,1,jon,contract
5,1,1,1,1,jon,contract
6,1,1,1,1,jon,contract
101,1,1,1,1,jon,contract
102,1,1,1,1,jon,contract
104,1,1,1,1,jon,contract
105,1,1,1,1,jon,contract
106,1,1,1,1,jon,contract
1,1,1,1,1,jon,expand
2,1,1,1,1,jon,expand
4,1,1,1,1,jon,expand
5,1,1,1,1,jon,expand
6,1,1,1,1,jon,expand
101,1,1,1,1,jon,expand
102,1,1,1,1,jon,expand
104,1,1,1,1,jon,expand
105,1,1,1,1,jon,expand
106,1,1,1,1,jon,expand
1,0.2760180995,0.2760180995,0.9999201841,0.1601049869,jon,translate
2,0.1781818182,0.1781818182,0.9999549065,0.09780439122,jon,translate
4,0.3295932679,0.3295932679,0.9999523119,0.1973131822,jon,translate
5,0.07117437722,0.07117437722,0.9999739622,0.036900369,jon,translate
6,0.1976331361,0.1976331361,0.9999323578,0.1096520026,jon,translate
101,0.286067601,0.286067601,0.9999135984,0.1669071669,jon,translate
102,0.1080139373,0.1080139373,0.9999489206,0.05709023941,jon,translate
104,0.4504504505,0.4504504505,0.9999513134,0.2906976744,jon,translate
105,0.1609756098,0.1609756098,0.9999828411,0.0875331565,jon,translate
106,0.1976470588,0.1976470588,0.9999319587,0.1096605744,jon,translate
1,1,1,1,1,mallar,contract
2,1,1,1,1,mallar,contract
4,1,1,1,1,mallar,contract
5,1,1,1,1,mallar,contract
6,1,1,1,1,mallar,contract
101,1,1,1,1,mallar,contract
102,1,1,1,1,mallar,contract
104,1,1,1,1,mallar,contract
105,1,1,1,1,mallar,contract
106,1,1,1,1,mallar,contract
1,1,1,1,1,mallar,expand
2,1,1,1,1,mallar,expand
4,1,1,1,1,mallar,expand
5,1,1,1,1,mallar,expand
6,1,1,1,1,mallar,expand
101,1,1,1,1,mallar,expand
102,1,1,1,1,mallar,expand
104,1,1,1,1,mallar,expand
105,1,1,1,1,mallar,expand
106,1,1,1,1,mallar,expand
1,0.3249475891,0.3249475891,0.9999053203,0.1939924906,mallar,translate
2,0.1360946746,0.1360946746,0.9999570746,0.07301587302,mallar,translate
4,0.4255319149,0.4255319149,0.9999417831,0.2702702703,mallar,translate
5,0.1334951456,0.1334951456,0.9999650132,0.07152145644,mallar,translate
6,0.2434108527,0.2434108527,0.9999043415,0.1385701677,mallar,translate
101,0.2373290426,0.2373290426,0.9999070862,0.1346417161,mallar,translate
102,0.1498316498,0.1498316498,0.9999505079,0.08098271156,mallar,translate
104,0.4752667313,0.4752667313,0.9999469775,0.3117048346,mallar,translate
105,0.2146596859,0.2146596859,0.9999705994,0.1202346041,mallar,translate
106,0.2520661157,0.2520661157,0.9999113009,0.1442080378,mallar,translate
1,1,1,1,1,nancy,contract
2,1,1,1,1,nancy,contract
4,1,1,1,1,nancy,contract
5,1,1,1,1,nancy,contract
6,1,1,1,1,nancy,contract
101,1,1,1,1,nancy,contract
102,1,1,1,1,nancy,contract
104,1,1,1,1,nancy,contract
105,1,1,1,1,nancy,contract
106,1,1,1,1,nancy,contract
1,1,1,1,1,nancy,expand
2,1,1,1,1,nancy,expand
4,1,1,1,1,nancy,expand
5,1,1,1,1,nancy,expand
6,1,1,1,1,nancy,expand
101,1,1,1,1,nancy,expand
102,1,1,1,1,nancy,expand
104,1,1,1,1,nancy,expand
105,1,1,1,1,nancy,expand
106,1,1,1,1,nancy,expand
1,0.2861736334,0.2861736334,0.9999335544,0.1669793621,nancy,translate
2,0.164644714,0.164644714,0.9999519135,0.08970727101,nancy,translate
4,0.4627249357,0.4627249357,0.9999582976,0.3010033445,nancy,translate
5,0.09765625,0.09765625,0.9999769551,0.05133470226,nancy,translate
6,0.166453265,0.166453265,0.9999350519,0.09078212291,nancy,translate
101,0.2688910697,0.2688910697,0.9999256721,0.1553287982,nancy,translate
102,0.2104347826,0.2104347826,0.9999547069,0.1175898931,nancy,translate
104,0.4663143989,0.4663143989,0.9999596944,0.3040482343,nancy,translate
105,0.1393034826,0.1393034826,0.9999827414,0.07486631016,nancy,translate
106,0.2192262603,0.2192262603,0.999933555,0.1231073074,nancy,translate
1,0.8710266715,0.8643944888,0.9999827131,0.7715210356,sofia,contract
2,0.9455040872,0.9378378378,0.9999982298,0.8966408269,sofia,contract
4,0.9450424929,0.932885906,0.9999961471,0.895810956,sofia,contract
5,0.8621908127,0.8531468531,0.9999962515,0.7577639752,sofia,contract
6,0.868355688,0.8636363636,0.9999867749,0.7673397717,sofia,contract
101,0.8486725664,0.8382867133,0.9999836507,0.7371252882,sofia,contract
102,0.8559782609,0.8490566038,0.9999947936,0.7482185273,sofia,contract
104,0.896073903,0.8778280543,0.9999925024,0.8117154812,sofia,contract
105,0.7287581699,0.7101910828,0.9999921905,0.5732647815,sofia,contract
106,0.8002028398,0.789,0.9999809435,0.6669484362,sofia,contract
1,0.8729758906,0.8796229152,0.9999805262,0.7745849298,sofia,expand
2,0.9463806971,0.9540540541,0.9999976051,0.8982188295,sofia,expand
4,0.9464384318,0.9586129754,0.999993752,0.8983228512,sofia,expand
5,0.8650519031,0.8741258741,0.9999956267,0.762195122,sofia,expand
6,0.8697788698,0.8745059289,0.9999856295,0.7695652174,sofia,expand
101,0.8523316062,0.8627622378,0.9999807349,0.7426636569,sofia,expand
102,0.8582887701,0.8652291105,0.9999941689,0.7517564403,sofia,expand
104,0.9002217295,0.9185520362,0.9999887537,0.8185483871,sofia,expand
105,0.7422360248,0.7611464968,0.9999905245,0.5901234568,sofia,expand
106,0.8057199211,0.817,0.9999780277,0.6746490504,sofia,expand
1,0.2704858593,0.2704858593,0.9998952369,0.15639413,sofia,translate
2,0.05135135135,0.05135135135,0.9999634513,0.02635228849,sofia,translate
4,0.451901566,0.451901566,0.9999489748,0.2919075145,sofia,translate
5,0.08041958042,0.08041958042,0.9999726148,0.04189435337,sofia,translate
6,0.1897233202,0.1897233202,0.9999146099,0.1048034934,sofia,translate
101,0.1958041958,0.1958041958,0.9999041952,0.1085271318,sofia,translate
102,0.1563342318,0.1563342318,0.9999674082,0.08479532164,sofia,translate
104,0.4162895928,0.4162895928,0.9999462674,0.2628571429,sofia,translate
105,0.1337579618,0.1337579618,0.9999716775,0.07167235495,sofia,translate
106,0.166,0.166,0.9999131521,0.09051254089,sofia,translate
