atlases,subject,res,label,k,se,sn,j
jon.mallar.nancy,anusha,0.9,1,0.4877,0.5484,0.9999,0.3225
jon.mallar.nancy,anusha,0.9,2,0.5240,0.6541,0.9999,0.3551
jon.mallar.nancy,anusha,0.9,4,0.5766,0.5232,0.9999,0.4051
jon.mallar.nancy,anusha,0.9,5,0.4033,0.5274,0.9999,0.2526
jon.mallar.nancy,anusha,0.9,6,0.4315,0.4402,0.9999,0.2751
jon.mallar.nancy,anusha,0.9,101,0.5899,0.6663,0.9999,0.4183
jon.mallar.nancy,anusha,0.9,102,0.6200,0.7631,0.9999,0.4492
jon.mallar.nancy,anusha,0.9,104,0.6877,0.6091,0.9999,0.5240
jon.mallar.nancy,anusha,0.9,105,0.5630,0.6411,0.9999,0.3918
jon.mallar.nancy,anusha,0.9,106,0.4737,0.4578,0.9999,0.3104
jon.mallar.sofia,anusha,0.9,1,0.5280,0.5712,0.9999,0.3587
jon.mallar.sofia,anusha,0.9,2,0.5473,0.7514,0.9999,0.3768
jon.mallar.sofia,anusha,0.9,4,0.6142,0.5628,0.9999,0.4432
jon.mallar.sofia,anusha,0.9,5,0.4842,0.5747,0.9999,0.3194
jon.mallar.sofia,anusha,0.9,6,0.4856,0.4913,0.9999,0.3206
jon.mallar.sofia,anusha,0.9,101,0.6221,0.689,0.9999,0.4515
jon.mallar.sofia,anusha,0.9,102,0.6498,0.8009,0.9999,0.4812
jon.mallar.sofia,anusha,0.9,104,0.7136,0.6244,0.9999,0.5547
jon.mallar.sofia,anusha,0.9,105,0.5815,0.6587,0.9999,0.4100
jon.mallar.sofia,anusha,0.9,106,0.4965,0.4722,0.9999,0.3303
jon.sofia.nancy,anusha,0.9,1,0.5340,0.5853,0.9999,0.3642
jon.sofia.nancy,anusha,0.9,2,0.5518,0.6635,0.9999,0.3810
jon.sofia.nancy,anusha,0.9,4,0.6058,0.5580,0.9999,0.4346
jon.sofia.nancy,anusha,0.9,5,0.4102,0.5517,0.9999,0.2580
jon.sofia.nancy,anusha,0.9,6,0.4370,0.4663,0.9999,0.2796
jon.sofia.nancy,anusha,0.9,101,0.6166,0.6734,0.9999,0.4458
jon.sofia.nancy,anusha,0.9,102,0.6263,0.7753,0.9999,0.4559
jon.sofia.nancy,anusha,0.9,104,0.7055,0.6274,0.9999,0.5450
jon.sofia.nancy,anusha,0.9,105,0.5,0.6031,0.9999,0.3333
jon.sofia.nancy,anusha,0.9,106,0.4696,0.4631,0.9999,0.3069
mallar.nancy.sofia,anusha,0.9,1,0.5329,0.5634,0.9999,0.3632
mallar.nancy.sofia,anusha,0.9,2,0.5548,0.7054,0.9999,0.3839
mallar.nancy.sofia,anusha,0.9,4,0.6215,0.5630,0.9999,0.4509
mallar.nancy.sofia,anusha,0.9,5,0.4501,0.5432,0.9999,0.2904
mallar.nancy.sofia,anusha,0.9,6,0.4652,0.4736,0.9999,0.3031
mallar.nancy.sofia,anusha,0.9,101,0.6062,0.6831,0.9999,0.4349
mallar.nancy.sofia,anusha,0.9,102,0.6536,0.8057,0.9999,0.4855
mallar.nancy.sofia,anusha,0.9,104,0.7094,0.6354,0.9999,0.5496
mallar.nancy.sofia,anusha,0.9,105,0.5219,0.5574,0.9999,0.3530
mallar.nancy.sofia,anusha,0.9,106,0.4883,0.4586,0.9999,0.3230
anusha.mallar.nancy,jon,0.9,1,0.5490,0.5701,0.9999,0.3783
anusha.mallar.nancy,jon,0.9,2,0.5112,0.5270,0.9999,0.3433
anusha.mallar.nancy,jon,0.9,4,0.6375,0.6032,0.9999,0.4679
anusha.mallar.nancy,jon,0.9,5,0.3788,0.4971,0.9999,0.2336
anusha.mallar.nancy,jon,0.9,6,0.4543,0.4897,0.9999,0.2939
anusha.mallar.nancy,jon,0.9,101,0.5401,0.5780,0.9999,0.3700
anusha.mallar.nancy,jon,0.9,102,0.5789,0.5794,0.9999,0.4073
anusha.mallar.nancy,jon,0.9,104,0.7031,0.7201,0.9999,0.5422
anusha.mallar.nancy,jon,0.9,105,0.2931,0.2844,0.9999,0.1717
anusha.mallar.nancy,jon,0.9,106,0.4736,0.4767,0.9999,0.3103
anusha.mallar.sofia,jon,0.9,1,0.5154,0.5088,0.9999,0.3471
anusha.mallar.sofia,jon,0.9,2,0.4390,0.4534,0.9999,0.2812
anusha.mallar.sofia,jon,0.9,4,0.5913,0.5531,0.9999,0.4198
anusha.mallar.sofia,jon,0.9,5,0.4247,0.5049,0.9999,0.2696
anusha.mallar.sofia,jon,0.9,6,0.4197,0.4504,0.9999,0.2656
anusha.mallar.sofia,jon,0.9,101,0.5935,0.6316,0.9999,0.4220
anusha.mallar.sofia,jon,0.9,102,0.5694,0.5780,0.9999,0.3980
anusha.mallar.sofia,jon,0.9,104,0.7119,0.7213,0.9999,0.5527
anusha.mallar.sofia,jon,0.9,105,0.3925,0.3766,0.9999,0.2441
anusha.mallar.sofia,jon,0.9,106,0.4890,0.4775,0.9999,0.3237
anusha.nancy.sofia,jon,0.9,1,0.5009,0.5137,0.9999,0.3341
anusha.nancy.sofia,jon,0.9,2,0.4911,0.4761,0.9999,0.3255
anusha.nancy.sofia,jon,0.9,4,0.5843,0.5349,0.9999,0.4127
anusha.nancy.sofia,jon,0.9,5,0.3793,0.4808,0.9999,0.2340
anusha.nancy.sofia,jon,0.9,6,0.4097,0.4621,0.9999,0.2576
anusha.nancy.sofia,jon,0.9,101,0.5835,0.6095,0.9999,0.4120
anusha.nancy.sofia,jon,0.9,102,0.5870,0.5960,0.9999,0.4155
anusha.nancy.sofia,jon,0.9,104,0.6943,0.7102,0.9999,0.5317
anusha.nancy.sofia,jon,0.9,105,0.3469,0.3636,0.9999,0.2098
anusha.nancy.sofia,jon,0.9,106,0.4650,0.4678,0.9999,0.3030
mallar.nancy.sofia,jon,0.9,1,0.5381,0.5343,0.9999,0.3681
mallar.nancy.sofia,jon,0.9,2,0.5063,0.5450,0.9999,0.3389
mallar.nancy.sofia,jon,0.9,4,0.6315,0.5654,0.9999,0.4615
mallar.nancy.sofia,jon,0.9,5,0.3389,0.4111,0.9999,0.2040
mallar.nancy.sofia,jon,0.9,6,0.4201,0.4563,0.9999,0.2659
mallar.nancy.sofia,jon,0.9,101,0.5697,0.6181,0.9999,0.3983
mallar.nancy.sofia,jon,0.9,102,0.6120,0.6331,0.9999,0.4409
mallar.nancy.sofia,jon,0.9,104,0.6946,0.69,0.9999,0.5321
mallar.nancy.sofia,jon,0.9,105,0.2994,0.3121,0.9999,0.1761
mallar.nancy.sofia,jon,0.9,106,0.4738,0.4502,0.9999,0.3104
anusha.jon.nancy,mallar,0.9,1,0.5697,0.6354,0.9999,0.3983
anusha.jon.nancy,mallar,0.9,2,0.5491,0.5367,0.9999,0.3784
anusha.jon.nancy,mallar,0.9,4,0.6564,0.7210,0.9999,0.4886
anusha.jon.nancy,mallar,0.9,5,0.3916,0.5781,0.9999,0.2435
anusha.jon.nancy,mallar,0.9,6,0.4328,0.5544,0.9999,0.2762
anusha.jon.nancy,mallar,0.9,101,0.5548,0.5629,0.9999,0.3839
anusha.jon.nancy,mallar,0.9,102,0.6485,0.7041,0.9999,0.4798
anusha.jon.nancy,mallar,0.9,104,0.6947,0.7279,0.9999,0.5322
anusha.jon.nancy,mallar,0.9,105,0.5660,0.7086,0.9999,0.3947
anusha.jon.nancy,mallar,0.9,106,0.4782,0.5840,0.9999,0.3143
anusha.jon.sofia,mallar,0.9,1,0.5091,0.5324,0.9999,0.3414
anusha.jon.sofia,mallar,0.9,2,0.5829,0.5800,0.9999,0.4113
anusha.jon.sofia,mallar,0.9,4,0.6148,0.7078,0.9999,0.4439
anusha.jon.sofia,mallar,0.9,5,0.3913,0.5431,0.9999,0.2432
anusha.jon.sofia,mallar,0.9,6,0.3904,0.4964,0.9999,0.2425
anusha.jon.sofia,mallar,0.9,101,0.5251,0.5374,0.9999,0.3560
anusha.jon.sofia,mallar,0.9,102,0.6555,0.7308,0.9999,0.4875
anusha.jon.sofia,mallar,0.9,104,0.6951,0.7312,0.9999,0.5327
anusha.jon.sofia,mallar,0.9,105,0.5090,0.5992,0.9999,0.3414
anusha.jon.sofia,mallar,0.9,106,0.4821,0.5601,0.9999,0.3176
anusha.nancy.sofia,mallar,0.9,1,0.5515,0.5696,0.9999,0.3807
anusha.nancy.sofia,mallar,0.9,2,0.5676,0.5488,0.9999,0.3962
anusha.nancy.sofia,mallar,0.9,4,0.6251,0.6815,0.9999,0.4546
anusha.nancy.sofia,mallar,0.9,5,0.4528,0.6056,0.9999,0.2927
anusha.nancy.sofia,mallar,0.9,6,0.4,0.5127,0.9999,0.25
anusha.nancy.sofia,mallar,0.9,101,0.5723,0.5801,0.9999,0.4009
anusha.nancy.sofia,mallar,0.9,102,0.6617,0.7263,0.9999,0.4945
anusha.nancy.sofia,mallar,0.9,104,0.6800,0.7227,0.9999,0.5151
anusha.nancy.sofia,mallar,0.9,105,0.6184,0.7295,0.9999,0.4475
anusha.nancy.sofia,mallar,0.9,106,0.4887,0.5650,0.9999,0.3234
jon.sofia.nancy,mallar,0.9,1,0.5773,0.6343,0.9999,0.4057
jon.sofia.nancy,mallar,0.9,2,0.5381,0.5480,0.9999,0.3681
jon.sofia.nancy,mallar,0.9,4,0.6635,0.7100,0.9999,0.4965
jon.sofia.nancy,mallar,0.9,5,0.4354,0.6490,0.9999,0.2783
jon.sofia.nancy,mallar,0.9,6,0.4207,0.5145,0.9999,0.2663
jon.sofia.nancy,mallar,0.9,101,0.5566,0.5744,0.9999,0.3856
jon.sofia.nancy,mallar,0.9,102,0.6280,0.7369,0.9999,0.4577
jon.sofia.nancy,mallar,0.9,104,0.6902,0.6909,0.9999,0.5270
jon.sofia.nancy,mallar,0.9,105,0.5041,0.6877,0.9999,0.3370
jon.sofia.nancy,mallar,0.9,106,0.4913,0.5663,0.9999,0.3256
anusha.jon.mallar,nancy,0.9,1,0.5907,0.5663,0.9999,0.4192
anusha.jon.mallar,nancy,0.9,2,0.5965,0.6732,0.9999,0.4250
anusha.jon.mallar,nancy,0.9,4,0.6657,0.7012,0.9999,0.4989
anusha.jon.mallar,nancy,0.9,5,0.2165,0.2372,0.9999,0.1214
anusha.jon.mallar,nancy,0.9,6,0.4230,0.4387,0.9999,0.2682
anusha.jon.mallar,nancy,0.9,101,0.6099,0.6009,0.9999,0.4388
anusha.jon.mallar,nancy,0.9,102,0.6286,0.6441,0.9999,0.4584
anusha.jon.mallar,nancy,0.9,104,0.6658,0.6543,0.9999,0.4990
anusha.jon.mallar,nancy,0.9,105,0.3698,0.3619,0.9999,0.2268
anusha.jon.mallar,nancy,0.9,106,0.4182,0.4358,0.9999,0.2644
anusha.jon.sofia,nancy,0.9,1,0.5212,0.4887,0.9999,0.3525
anusha.jon.sofia,nancy,0.9,2,0.5706,0.6348,0.9999,0.3991
anusha.jon.sofia,nancy,0.9,4,0.6366,0.6777,0.9999,0.467
anusha.jon.sofia,nancy,0.9,5,0.1839,0.2321,0.9999,0.1012
anusha.jon.sofia,nancy,0.9,6,0.3477,0.3669,0.9999,0.2104
anusha.jon.sofia,nancy,0.9,101,0.6071,0.5883,0.9999,0.4358
anusha.jon.sofia,nancy,0.9,102,0.6315,0.6732,0.9999,0.4615
anusha.jon.sofia,nancy,0.9,104,0.6675,0.6614,0.9999,0.5009
anusha.jon.sofia,nancy,0.9,105,0.2962,0.3163,0.9999,0.1739
anusha.jon.sofia,nancy,0.9,106,0.3990,0.4160,0.9999,0.2492
anusha.mallar.sofia,nancy,0.9,1,0.5474,0.5017,0.9999,0.3769
anusha.mallar.sofia,nancy,0.9,2,0.5250,0.5925,0.9999,0.3560
anusha.mallar.sofia,nancy,0.9,4,0.6469,0.6798,0.9999,0.4780
anusha.mallar.sofia,nancy,0.9,5,0.2900,0.3252,0.9999,0.1696
anusha.mallar.sofia,nancy,0.9,6,0.3706,0.3793,0.9999,0.2274
anusha.mallar.sofia,nancy,0.9,101,0.6249,0.6134,0.9999,0.4544
anusha.mallar.sofia,nancy,0.9,102,0.5972,0.6288,0.9999,0.4257
anusha.mallar.sofia,nancy,0.9,104,0.6793,0.6731,0.9999,0.5143
anusha.mallar.sofia,nancy,0.9,105,0.4306,0.4147,0.9999,0.2743
anusha.mallar.sofia,nancy,0.9,106,0.4080,0.4104,0.9999,0.2562
jon.mallar.sofia,nancy,0.9,1,0.5836,0.5551,0.9999,0.4120
jon.mallar.sofia,nancy,0.9,2,0.5659,0.6821,0.9999,0.3946
jon.mallar.sofia,nancy,0.9,4,0.6562,0.6662,0.9999,0.4883
jon.mallar.sofia,nancy,0.9,5,0.2516,0.2962,0.9999,0.1439
jon.mallar.sofia,nancy,0.9,6,0.4191,0.4169,0.9999,0.2651
jon.mallar.sofia,nancy,0.9,101,0.6135,0.6108,0.9999,0.4425
jon.mallar.sofia,nancy,0.9,102,0.6094,0.6659,0.9999,0.4382
jon.mallar.sofia,nancy,0.9,104,0.6892,0.6555,0.9999,0.5258
jon.mallar.sofia,nancy,0.9,105,0.3386,0.3615,0.9999,0.2038
jon.mallar.sofia,nancy,0.9,106,0.4217,0.4215,0.9999,0.2672
anusha.jon.mallar,sofia,0.9,1,0.5065,0.5799,0.9999,0.3391
anusha.jon.mallar,sofia,0.9,2,0.5687,0.5726,0.9999,0.3973
anusha.jon.mallar,sofia,0.9,4,0.5342,0.5454,0.9999,0.3644
anusha.jon.mallar,sofia,0.9,5,0.4416,0.4538,0.9999,0.2834
anusha.jon.mallar,sofia,0.9,6,0.3467,0.3994,0.9999,0.2097
anusha.jon.mallar,sofia,0.9,101,0.6516,0.6849,0.9999,0.4833
anusha.jon.mallar,sofia,0.9,102,0.6650,0.6048,0.9999,0.4981
anusha.jon.mallar,sofia,0.9,104,0.6538,0.6527,0.9999,0.4857
anusha.jon.mallar,sofia,0.9,105,0.4251,0.5066,0.9999,0.2699
anusha.jon.mallar,sofia,0.9,106,0.4383,0.4877,0.9999,0.2806
anusha.jon.nancy,sofia,0.9,1,0.5,0.5786,0.9999,0.3333
anusha.jon.nancy,sofia,0.9,2,0.5126,0.4832,0.9999,0.3447
anusha.jon.nancy,sofia,0.9,4,0.5421,0.5486,0.9999,0.3718
anusha.jon.nancy,sofia,0.9,5,0.4253,0.5123,0.9999,0.2701
anusha.jon.nancy,sofia,0.9,6,0.3320,0.3873,0.9999,0.1990
anusha.jon.nancy,sofia,0.9,101,0.6491,0.6606,0.9999,0.4805
anusha.jon.nancy,sofia,0.9,102,0.6407,0.6,0.9999,0.4713
anusha.jon.nancy,sofia,0.9,104,0.6524,0.6639,0.9999,0.4842
anusha.jon.nancy,sofia,0.9,105,0.4,0.5124,0.9999,0.25
anusha.jon.nancy,sofia,0.9,106,0.3947,0.4594,0.9999,0.2459
anusha.mallar.nancy,sofia,0.9,1,0.5184,0.5883,0.9999,0.3499
anusha.mallar.nancy,sofia,0.9,2,0.5316,0.5086,0.9999,0.3620
anusha.mallar.nancy,sofia,0.9,4,0.5522,0.5519,0.9999,0.3814
anusha.mallar.nancy,sofia,0.9,5,0.4540,0.4684,0.9999,0.2937
anusha.mallar.nancy,sofia,0.9,6,0.3318,0.3753,0.9999,0.1989
anusha.mallar.nancy,sofia,0.9,101,0.6100,0.6418,0.9999,0.4389
anusha.mallar.nancy,sofia,0.9,102,0.6031,0.5458,0.9999,0.4317
anusha.mallar.nancy,sofia,0.9,104,0.6549,0.6549,0.9999,0.4869
anusha.mallar.nancy,sofia,0.9,105,0.4558,0.5391,0.9999,0.2952
anusha.mallar.nancy,sofia,0.9,106,0.4162,0.4600,0.9999,0.2627
jon.mallar.nancy,sofia,0.9,1,0.4697,0.5478,0.9999,0.3069
jon.mallar.nancy,sofia,0.9,2,0.4658,0.4812,0.9999,0.3036
jon.mallar.nancy,sofia,0.9,4,0.5294,0.5170,0.9999,0.3600
jon.mallar.nancy,sofia,0.9,5,0.4356,0.4752,0.9999,0.2784
jon.mallar.nancy,sofia,0.9,6,0.2983,0.3321,0.9999,0.1753
jon.mallar.nancy,sofia,0.9,101,0.6083,0.6545,0.9999,0.4371
jon.mallar.nancy,sofia,0.9,102,0.6287,0.6165,0.9999,0.4585
jon.mallar.nancy,sofia,0.9,104,0.6514,0.6281,0.9999,0.4830
jon.mallar.nancy,sofia,0.9,105,0.4426,0.5833,0.9999,0.2842
jon.mallar.nancy,sofia,0.9,106,0.4206,0.4607,0.9999,0.2663