atlases,subject,res,X1,X2,X4,X5,X6,X101,X102,X104,X105,X106
jon.mallar.nancy,anusha,0.9,676.512,290.871,610.173,132.678,579.555,703.485,304.722,637.875,152.361,597.051
jon.mallar.sofia,anusha,0.9,726.084,249.318,597.051,156.006,589.032,729,303.993,656.1,153.819,617.463
jon.sofia.nancy,anusha,0.9,708.588,309.825,590.49,126.846,531.441,747.954,301.806,632.043,137.781,572.994
mallar.nancy.sofia,anusha,0.9,758.16,282.123,612.36,151.632,581.742,706.401,303.993,621.837,171.315,634.23
anusha.mallar.nancy,jon,0.9,747.954,377.622,582.471,126.117,532.899,775.656,417.717,617.463,158.922,611.631
anusha.mallar.sofia,jon,0.9,826.686,376.164,597.051,148.716,537.273,783.675,406.053,630.585,162.567,650.268
anusha.nancy.sofia,jon,0.9,766.179,427.194,625.482,133.407,490.617,812.106,406.053,618.921,136.323,612.36
mallar.nancy.sofia,jon,0.9,817.209,347.733,657.558,143.613,525.609,755.973,391.473,656.1,137.781,688.176
anusha.jon.nancy,mallar,0.9,847.827,387.099,629.856,153.819,602.154,880.632,369.603,685.989,185.166,611.631
anusha.jon.sofia,mallar,0.9,955.719,373.248,578.826,169.128,609.444,865.323,352.107,680.886,205.578,666.306
anusha.nancy.sofia,mallar,0.9,979.047,395.847,638.604,179.334,601.425,882.09,362.313,667.764,204.849,672.138
jon.sofia.nancy,mallar,0.9,871.155,356.481,661.203,151.632,650.268,851.472,321.489,750.141,161.109,675.783
anusha.jon.mallar,nancy,0.9,741.393,334.611,512.487,156.735,529.983,765.45,399.492,571.536,153.09,573.723
anusha.jon.sofia,nancy,0.9,777.114,343.359,502.281,122.472,512.487,791.694,370.332,562.059,129.033,572.994
anusha.mallar.sofia,nancy,0.9,816.48,334.611,514.674,150.174,543.834,771.282,379.08,562.059,158.193,614.547
jon.mallar.sofia,nancy,0.9,753.786,298.161,550.395,137.781,575.181,749.412,353.565,611.631,129.033,622.566
anusha.jon.mallar,sofia,0.9,779.301,266.085,625.482,197.559,565.704,756.702,330.237,646.623,165.483,594.864
anusha.jon.nancy,sofia,0.9,764.721,304.722,636.417,147.987,553.311,805.545,309.825,622.566,146.529,548.937
anusha.mallar.nancy,sofia,0.9,791.694,295.245,652.455,196.101,584.658,755.244,333.882,644.436,167.67,602.154
jon.mallar.nancy,sofia,0.9,754.515,252.963,683.802,176.418,601.425,723.897,281.394,694.008,139.968,612.36